,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
means,.03,.19,.01,.05,.14,.09,.01,.05,.03,.05,.12,.22,.22,.09,.08,.04,.02,.04,.23,.25,.34,.03,.12,.03,.18,.14,.10,.19,.44
sds,.170,.392,.116,.226,.348,.285,.116,.210,.170,.215,.324,.416,.412,.281,.269,.204,.126,.197,.423,.436,.474,.162,.324,.162,.388,.348,.304,.390,.496
scd,0.0894,0.0787,0.0049,0.0179,-0.0323,0.0263,-0.0545,0.0104,-0.013,-0.0451,0.0043,0.0698,0.0291,0.1198,-0.059,-0.0318,0.0824,-0.0183,0.0222,0.1792,0.1774,-0.0256,-0.0109,0.0293,0.3625,0.0183,0.1124,0.0734,0.2095
dysphoria,-0.1354,-0.0013,-0.0081,-0.0338,-0.0314,-0.0084,-0.5065,0.0151,-0.2961,-0.0283,-0.0282,0.0134,-0.0293,0.0156,-0.0062,-0.1033,-0.0449,-0.0425,0.0241,0.0396,0.0146,-0.0051,0.0263,-0.0538,-0.1102,-0.0029,-0.0092,0.0301,0.0006
apathy,0.0232,-0.0668,-0.0711,-0.0162,-0.1779,0.009,0.0574,0.0255,-0.1711,0.0111,-0.0008,-0.0643,-0.0141,0.0043,-0.3328,-0.0249,0.0136,-0.0038,-0.2888,-0.0687,-0.1487,-0.0257,-0.0332,0.0303,0.0748,-0.0757,0.0052,-0.0028,-0.0535
anxiety,0.0526,0.0577,-0.0047,0.0038,0.0748,0.1145,-0.0316,0.1109,-0.0564,0.2663,0.1427,-0.0118,0.1729,-0.0361,-0.0002,0.2029,-0.0102,0.0785,-0.0427,0.1625,0.0239,0.0659,0.1112,0.0448,0.0184,0.0627,-0.1104,0.1022,-0.0132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
